Disease,Symptoms,Treatments
Abdominal aortic aneurysm,"['In most cases, an AAA causes no noticeable symptoms. However, if it becomes large, some people may develop a pain or a pulsating feeling in their\xa0abdomen (tummy)\xa0or persistent back pain.', 'An AAA doesn’t usually pose a serious threat to health, but there’s a risk that a larger aneurysm could burst (rupture).', 'A ruptured aneurysm can cause massive internal bleeding, which is usually fatal. Around 8 out of 10 people with a rupture either die before they reach hospital or don’t survive surgery.', 'The most common symptom of a ruptured aortic aneurysm is sudden and severe pain in the abdomen.', 'If you suspect that you or someone else has had a ruptured aneurysm, call 999 immediately and ask for an ambulance.']","['If a large AAA is detected before it ruptures, most people will be advised to have treatment, to prevent\xa0it rupturing.', 'This is usually done with surgery to replace the weakened section of the blood vessel with a piece of synthetic tubing.', 'If surgery is not advisable – or if you decide not to have it – there are a number of non-surgical treatments that can reduce the risk of an aneurysm rupturing.', 'They include medications to lower\xa0your cholesterol and blood pressure, and quitting smoking .', 'You will also have the size of your aneurysm checked regularly with ultrasound scanning.']"
Achilles tendinopathy,"['Symptoms may vary from person to person. They can appear gradually or suddenly.', 'People may experience:', 'swelling', 'pain that’s worse during or after moving or exercising', 'stiffness that’s worse in the morning or after a period of rest', 'tenderness to touch the affected area', 'mild heat', 'loss of movement and strength around the ankle and foot']","['Following this advice, you should see gradual improvements over time.', 'If your symptoms haven’t improved within 12 weeks, or it’s got worse, after following this advice, it’s a good idea to talk to a healthcare professional about your symptoms.', 'Find out how to access MSK services in your area .', 'When dealing with any health condition it’s important to also look after your mental wellbeing as this can impact your recovery.']"
Acne,"['Acne is very common in teenagers and younger adults. About 80% of people aged 11\xa0to 30\xa0are affected by acne.', 'Acne is most common in girls from the ages of 14\xa0to 17, and in boys from the ages of 16\xa0to 19.', 'Most people have acne on and off for several years before their symptoms start to improve as they get older. Acne often disappears when a person is in their mid-twenties.', 'In some cases, acne can continue into adult life. About\xa05% of\xa0women and 1% of men have acne over the age of 25.']","['Treatments for acne scarring are regarded as a type of cosmetic surgery, which isn’t usually available on the NHS. However, in the past, exceptions have been made when it’s been shown that acne scarring has caused serious psychological distress.', 'See your GP if you’re considering having cosmetic surgery. They’ll be able to discuss your options with you and advise you about the likelihood of having the procedure carried out on the NHS.', 'Many private clinics offer treatment for acne scarring. Prices can vary widely (from £500 to\xa0more than\xa0£10,000) depending on the type of treatment needed.', 'The British Association of Plastic, Reconstructive and Aesthetic Surgeons website has more information about private treatment available in your area.', 'It’s important to have realistic expectations about what cosmetic treatment can achieve. While treatment can certainly improve the appearance of your scars, it can’t get rid of them completely.']"
Acute cholecystitis,"['To diagnose acute cholecystitis, your GP will examine your abdomen.', 'They will probably carry out a simple test called Murphy’s sign. You will\xa0be asked to breathe in deeply with your GP’s hand pressed on your tummy, just below your rib cage.', 'Your gallbladder will move downwards as your breathe in and, if you have cholecystitis, you will experience sudden pain as your gallbladder reaches your doctor’s hand.', 'If your symptoms suggest you have acute cholecystitis, your GP\xa0will refer you to hospital immediately for further tests and treatment.', 'Tests you may have in hospital include:']","['If you are diagnosed with acute cholecystitis, you will probably need to be admitted to hospital for treatment.']"
Acute lymphoblastic leukaemia,"['Symptoms of acute lymphoblastic leukaemia usually begin slowly before rapidly getting severe as the number of blast cells (immature white blood cells) in your blood increases.', 'Most of the symptoms are caused by the lack of healthy blood cells in your blood supply.', 'Symptoms of acute lymphoblastic leukaemia include:', 'pale skin', 'feeling tired and breathless', 'having repeated infections over a short space of time', 'unusual and frequent bleeding, such as bleeding gums or nose bleeds', 'high temperature (fever) of 38C (100.4F) or above', 'night sweats', 'bone and joint pain', 'easily bruised skin', 'swollen lymph nodes (glands)', 'abdominal pain – caused by a swollen liver or spleen', 'unexplained weight loss', 'a purple skin rash (purpura)']","['You will be given chemotherapy to kill the leukaemia cells in your bone marrow. Although some medications may be given as pills, you will need more than one medication given as an injection. To make things easier and avoid repeated injections, they can all be given via one flexible tube\xa0into a vein in your chest (called a central line).', 'Some chemotherapy medication may also be directly administered into your cerebrospinal fluid to kill any leukaemia cells that may have spread to your nervous system. This\xa0is given using a needle that is placed into your spine, in a similar way to a lumbar puncture .', 'Side effects that occur following chemotherapy are common. They can include:', 'nausea', 'vomiting', 'diarrhoea', 'loss of appetite', 'mouth ulcers', 'tiredness', 'skin rashes', 'infertility', 'hair loss']"
Acute lymphoblastic leukaemia: Children,"['As the leukaemia cells multiply in the bone marrow, the production of normal blood cells is reduced. Children may therefore become tired and lethargic because of anaemia, which is caused by a lack of red blood cells.', 'Children may develop bruises, and bleeding may take longer to stop because of the low number of platelets present in their blood (which help blood to clot). Sometimes, children suffer from infections because of low numbers of normal white blood cells.', 'A child is likely to feel generally unwell and may complain of aches and pains in the limbs or may have swollen lymph glands.', 'At first, the symptoms are just like those of a viral infection, but when they continue for more than a week or two, the diagnosis usually becomes clear.']","['The next phase of treatment is aimed at maintaining the remission and preventing the spread of leukaemia cells into the brain and spinal cord (the central nervous system, or CNS). CNS treatment involves injecting a drug, usually methotrexate lumbar puncture.', 'After this consolidation treatment there is a recovery period which is called interim maintenance. This is when more drugs will be given to try to keep the leukaemia in remission. The exact details will depend on which arm of treatment your child follows and will be discussed in detail by your child’s doctor as it depends on your child’s response to treatment so far.', 'Further doses of chemotherapy treatment, called ‘delayed intensification’, are given to kill off any remaining leukaemia cells.']"
Acute lymphoblastic leukaemia: Teenagers and young adults,"['Many of the symptoms of ALL are caused by having fewer than normal healthy blood cells in the body. Symptoms can include:', 'looking paler than usual and feeling tired – because of too few red blood cells (anaemia)', 'bruises\xa0– you may bruise more easily and it could take longer for bleeding to stop, if you have less blood clotting cells (platelets) than normal', 'infections – because there are too few mature white blood cells to fight infection', 'aches and pains in your bones', 'swollen glands (lymph nodes) in your neck, under your arm or in your groin', 'feeling unwell and run down', 'fever and sweats – you may have a high temperature without any obvious cause, such as an infection', 'headaches and visual disturbance']","['Chemotherapy given as tablets or into the blood can reach most places in your body. But it isn’t good at getting into the brain or spinal cord (called the central nervous system or CNS). So you’ll be given treatment into the fluid that goes around the CNS to target any leukaemia cells that might be hiding there. This is called CNS therapy.', 'CNS therapy is given during remission induction treatment (to get rid of the leukaemia) and continues right until the end of maintenance therapy.', 'Chemotherapy is given into the fluid, called cerebrospinal fluid or CSF, around your spinal cord. Drug treatment given into the CSF is called intrathecal therapy.', 'It’s a bit like having a lumbar puncture but with chemotherapy added. A doctor puts a needle into the space between 2 small bones (vertebrae) near the bottom of your spine. Then they inject chemotherapy into the CSF. The CSF will carry the chemotherapy around your CNS so it can reach any leukaemia cells that might be there.', 'The chemotherapy drug used for CNS therapy is called methotrexate.']"
Acute myeloid leukaemia,"['The symptoms of AML usually develop over a few weeks and become increasingly more severe. Symptoms can include:', 'pale skin', 'tiredness', 'breathlessness', 'frequent infections', 'unusual and frequent bleeding, such as bleeding gums or nosebleeds']","['If you can have intensive induction chemotherapy, you’ll usually be given a combination of chemotherapy medication at a high dose to kill the cancerous cells in your blood and bone marrow.', 'This stage of treatment will be carried out in hospital or in a specialist centre, as you’ll need very close medical and nursing supervision.', 'You’ll have regular blood transfusions because your blood won’t contain enough healthy blood cells.', 'You’ll also be vulnerable to infection, so it’s important that you’re in a clean and stable environment where your health can be carefully monitored and any infection you have can be promptly treated. You may also be prescribed\xa0antibiotics to help prevent further infection.', 'Depending on how well you respond to treatment, the induction phase can last from four weeks to a couple of months. You may be able to leave hospital and receive treatment on an outpatient basis if your symptoms improve.']"
Acute myeloid leukaemia: Children,"['As the leukaemia cells multiply in the bone marrow, the production of normal blood cells is reduced. Children may therefore become tired and lethargic because of anaemia, which is caused by a lack of red blood cells.', 'Children may develop bruises, and bleeding may take longer to stop because of the low number of platelets present in their blood. Sometimes they may suffer from infections because of low numbers of normal white blood cells.', 'A child is likely to feel generally unwell and may complain of aches and pains in the limbs or may have swollen lymph glands.', 'At first, the symptoms are just like those of a viral infection, but when they continue for more than a week or two, the diagnosis usually becomes clear.']","['The aim of treatment for AML is to destroy the leukaemia cells and enable the bone marrow to work normally again. Chemotherapy is the main treatment for AML. Usually a combination of chemotherapy drugs is given, according to a treatment plan (often called a protocol or regimen).', 'The treatment usually has different phases.']"
Acute myeloid leukaemia: Teenagers and young adults,"['Many of the symptoms of AML are caused by having fewer than normal healthy blood cells in the body. Symptoms can include:', 'looking paler than usual and feeling tired –\xa0because of too few red blood cells (anaemia)', 'bruises or bleeding\xa0– you may bruise more easily and it could take longer for bleeding to stop, if you have less blood clotting cells (platelets) than normal', 'infections\xa0– because there are too few mature white blood cells to fight infection', 'aches and pains in your bones', 'swollen glands (lymph nodes) in your neck, under your arm or in your groin', 'feeling unwell and run down', 'fever and sweats\xa0– you may have a high temperature without any obvious cause, such as an infection', 'headaches and blurred vision\xa0– because of too many white blood cells', 'breathlessness\xa0– because of too many white blood cells.']","['You usually won’t need this treatment if you’re 16 or over. But if you’re under 16, you’ll probably have it.', 'CNS therapy is given to get rid of any leukaemia cells that might be in the brain or spinal cord. (The CNS or central nervous system is the name for the brain and spinal cord.)', 'CNS therapy involves giving chemotherapy into the fluid, called cerebrospinal fluid or CSF, around the spinal cord and brain.', 'It’s a bit like having a lumbar puncture but with chemotherapy added. A doctor puts a needle into the space between two small bones (vertebrae) near the bottom of your spine. Then they inject chemotherapy into the CSF. The CSF will carry the chemotherapy around your CNS so it can reach any leukaemia cells that might be there.', 'You’ll have a lumbar puncture before you start treatment to check for leukaemia cells in the CSF.']"
